item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,original_performance,perturbed_performance,absolute_performance_change,pdr,performance_dropped
code_generation_124,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_124,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_124,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_124,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_125,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_125,code_generation,formatting_changes,5,5,1.000000,0.800000,0.200000,0.200000,true
code_generation_125,code_generation,paraphrasing,5,5,1.000000,0.200000,0.800000,0.800000,true
code_generation_125,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_125,code_generation,surface_noise,5,5,1.000000,0.800000,0.200000,0.200000,true
code_generation_126,code_generation,context_injection,5,5,0.000000,0.000000,0.000000,,false
code_generation_126,code_generation,formatting_changes,5,5,0.000000,0.000000,0.000000,,false
code_generation_126,code_generation,paraphrasing,5,5,0.000000,1.000000,-1.000000,,false
code_generation_126,code_generation,reordering,5,5,0.000000,0.000000,0.000000,,false
code_generation_126,code_generation,surface_noise,5,5,0.000000,0.000000,0.000000,,false
code_generation_127,code_generation,context_injection,5,5,0.400000,1.000000,-0.600000,-1.500000,false
code_generation_127,code_generation,formatting_changes,5,5,0.400000,0.400000,0.000000,0.000000,false
code_generation_127,code_generation,paraphrasing,5,5,0.400000,1.000000,-0.600000,-1.500000,false
code_generation_127,code_generation,reordering,5,5,0.400000,0.600000,-0.200000,-0.500000,false
code_generation_127,code_generation,surface_noise,5,5,0.400000,0.600000,-0.200000,-0.500000,false
code_generation_128,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_128,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_128,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_128,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_128,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_129,code_generation,context_injection,5,5,0.000000,0.000000,0.000000,,false
code_generation_129,code_generation,formatting_changes,5,5,0.000000,0.000000,0.000000,,false
code_generation_129,code_generation,paraphrasing,5,5,0.000000,0.000000,0.000000,,false
code_generation_129,code_generation,reordering,5,5,0.000000,0.000000,0.000000,,false
code_generation_129,code_generation,surface_noise,5,5,0.000000,0.000000,0.000000,,false
code_generation_13,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_13,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_13,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_13,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_13,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_130,code_generation,context_injection,5,5,0.400000,0.000000,0.400000,1.000000,true
code_generation_130,code_generation,formatting_changes,5,5,0.400000,0.400000,0.000000,0.000000,false
code_generation_130,code_generation,paraphrasing,5,5,0.400000,0.000000,0.400000,1.000000,true
code_generation_130,code_generation,reordering,5,5,0.400000,0.200000,0.200000,0.500000,true
code_generation_130,code_generation,surface_noise,5,5,0.400000,0.200000,0.200000,0.500000,true
code_generation_131,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_131,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_131,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_131,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_131,code_generation,surface_noise,5,5,1.000000,0.600000,0.400000,0.400000,true
code_generation_132,code_generation,context_injection,5,5,0.000000,0.000000,0.000000,,false
code_generation_132,code_generation,formatting_changes,5,5,0.000000,0.000000,0.000000,,false
code_generation_132,code_generation,paraphrasing,5,5,0.000000,0.000000,0.000000,,false
code_generation_132,code_generation,reordering,5,5,0.000000,0.000000,0.000000,,false
code_generation_132,code_generation,surface_noise,5,5,0.000000,0.000000,0.000000,,false
code_generation_133,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_133,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_133,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_133,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_133,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_134,code_generation,context_injection,5,5,0.000000,0.000000,0.000000,,false
code_generation_134,code_generation,formatting_changes,5,5,0.000000,0.000000,0.000000,,false
code_generation_134,code_generation,paraphrasing,5,5,0.000000,0.000000,0.000000,,false
code_generation_134,code_generation,reordering,5,5,0.000000,0.000000,0.000000,,false
code_generation_134,code_generation,surface_noise,5,5,0.000000,0.000000,0.000000,,false
code_generation_135,code_generation,context_injection,5,5,1.000000,0.800000,0.200000,0.200000,true
code_generation_135,code_generation,formatting_changes,5,5,1.000000,0.600000,0.400000,0.400000,true
code_generation_135,code_generation,paraphrasing,5,5,1.000000,0.000000,1.000000,1.000000,true
code_generation_135,code_generation,reordering,5,5,1.000000,0.000000,1.000000,1.000000,true
code_generation_135,code_generation,surface_noise,5,5,1.000000,0.600000,0.400000,0.400000,true
code_generation_136,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_136,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_136,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_136,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_136,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_138,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_138,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_138,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_138,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_138,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_139,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_139,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_139,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_139,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_139,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_14,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_14,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_14,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_14,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_14,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_140,code_generation,context_injection,5,5,0.200000,0.600000,-0.400000,-2.000000,false
code_generation_140,code_generation,formatting_changes,5,5,0.200000,0.400000,-0.200000,-1.000000,false
code_generation_140,code_generation,paraphrasing,5,5,0.200000,0.200000,0.000000,0.000000,false
code_generation_140,code_generation,reordering,5,5,0.200000,0.000000,0.200000,1.000000,true
