task,perturbation,dataset,n,uncorrected_single_drift,noise_baseline,raw_perturbation_drift,noise_corrected_drift
factual_qa,reordering,SQuAD V2,25,0.022594075325635923,0.012892818604940709,0.017165887728840937,0.005728420519540856
math_reasoning,reordering,MATH,25,0.0651668439229862,0.04880118420831179,0.07523416205961303,0.030309068747362247
code_generation,reordering,HumanEval,25,0.028865283391292147,0.016432249063643226,0.024953975071399126,0.014354683147758745
open_ended_writing,reordering,Alpaca,25,0.0730246612011196,0.07840561970502043,0.09139250849438012,0.01899064803943761
