task,strength_level,strength_edits,n,mean_cross_similarity,mean_noise_corrected_drift,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
code_generation,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0
code_generation,1,1,5,0.9769651054635856,0.000435474620252917,0.06666666666666668,-0.06666666666666668,0.0,0.2
code_generation,2,2,5,0.9856334349651321,0.00016429491344467385,0.06666666666666668,-0.06666666666666668,0.0,0.2
code_generation,3,4,5,0.9797054818153574,0.00020957718011704388,0.0,0.0,0.0,0.0
code_generation,4,8,5,0.9566357210410222,0.014616445214948284,0.06666666666666668,-0.06666666666666668,0.0,0.2
long_factual_qa,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0
long_factual_qa,1,1,5,0.9611092598029459,0.0007288879319302846,0.13333333333333333,-0.13333333333333333,0.0,0.4
long_factual_qa,2,2,5,0.9610480395881473,9.141727354842754e-05,0.13333333333333333,-0.13333333333333333,0.0,0.4
long_factual_qa,3,4,5,0.9565230413907331,0.0014783956289890084,0.2,-0.06666666666666668,0.2,0.4
long_factual_qa,4,8,5,0.9521391169840057,0.002585387614009672,0.0,0.0,0.0,0.0
math_reasoning,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0
math_reasoning,1,1,5,0.9399940779836823,0.00021748172857120537,0.2,0.06666666666666667,0.4,0.6
math_reasoning,2,2,5,0.9426332905654894,0.0005601359628566109,0.13333333333333336,0.0,0.2,0.4
math_reasoning,3,4,5,0.9393335529857485,0.005192505572139883,0.26666666666666666,0.26666666666666666,0.6,0.6
math_reasoning,4,8,5,0.9321170551079033,0.01494905548658752,0.19999999999999998,0.06666666666666667,0.2,0.4
