base_case_id,task,dataset,perturbation_family,strength_level,strength_edits,original_noise,perturbed_noise,noise_baseline,raw_perturbation_drift,noise_corrected_drift,mean_cross_similarity,mean_paired_similarity,clean_single_correct,perturbed_single_correct,single_pass_rate_drop,abs_single_pass_rate_change,single_sample_pdr,clean_mean_correctness,perturbed_mean_correctness,repeated_pass_rate_drop,abs_repeated_pass_rate_change,repeated_sampling_pdr,harmful_correctness_drop,correctness_changed
rq2_dose_squad_02,factual_qa,SQuAD V2,surface_noise,4,8,0.0687411847134231,0.0,0.03437059235671155,0.03438469160873218,1.4099252020630115e-05,0.9656153083912679,0.9656153083912679,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,1,1
rq2_dose_math_01,math_reasoning,MATH,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_math_01,math_reasoning,MATH,surface_noise,1,1,0.02931333380520466,0.024856743667189818,0.02708503873619724,0.02604339562892693,0.0,0.9739566043710731,0.9731046013198041,1.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337,1,1
rq2_dose_math_01,math_reasoning,MATH,surface_noise,2,2,0.02931333380520466,0.037333001475071646,0.03332316764013815,0.033926681266780716,0.0006035136266425642,0.9660733187332193,0.9616343978958436,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_math_01,math_reasoning,MATH,surface_noise,3,4,0.02931333380520466,0.03559757731607597,0.03245545556064031,0.033912346347293836,0.0014568907866535225,0.9660876536527062,0.9622609540792737,1.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337,1,1
rq2_dose_math_01,math_reasoning,MATH,surface_noise,4,8,0.02931333380520466,0.03473776092274017,0.032025547363972416,0.03422641593624346,0.0022008685722710447,0.9657735840637566,0.9616549154202666,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_math_02,math_reasoning,MATH,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0,0
rq2_dose_math_02,math_reasoning,MATH,surface_noise,1,1,0.015544664679074635,0.027655342190828287,0.02160000343495146,0.02295689887069288,0.001356895435741419,0.9770431011293071,0.9741066369092869,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0,0
rq2_dose_math_02,math_reasoning,MATH,surface_noise,2,2,0.015544664679074635,0.02065855257767457,0.018101608628374604,0.016392945182053698,0.0,0.9836070548179463,0.9859386662645258,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0,0
rq2_dose_math_02,math_reasoning,MATH,surface_noise,3,4,0.015544664679074635,0.054557953536723214,0.03505130910789892,0.05091269028659354,0.015861381178694615,0.9490873097134065,0.9453326392995419,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,1,1
rq2_dose_math_02,math_reasoning,MATH,surface_noise,4,8,0.015544664679074635,0.05347563755933893,0.03451015111920678,0.05364919290659767,0.01913904178739089,0.9463508070934024,0.9435988890582001,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,1,1
