strength_level,strength_edits,n,mean_cross_similarity,mean_paired_similarity,mean_raw_perturbation_drift,mean_noise_corrected_drift,mean_clean_correctness,mean_perturbed_correctness,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
0,0,40,1.0,1.0,0.0,0.0,0.644515873015873,0.644515873015873,0.0,0.0,0.0,0.0
1,2,40,0.950839240578036,0.9517216549896151,0.049160759421964,0.013984253825508185,0.644515873015873,0.6664186507936508,0.09617658730158729,-0.02190277777777777,0.175,0.4
2,4,40,0.9537030099906064,0.9535669615980695,0.046296990009393565,0.017067448203651435,0.644515873015873,0.6670436507936508,0.07328174603174603,-0.02252777777777777,0.1,0.325
3,8,40,0.9503725006257238,0.9540552230084922,0.049627499374276206,0.014580940798485247,0.644515873015873,0.6409980158730159,0.08324801587301586,0.0035178571428571464,0.25,0.425
4,16,40,0.945983345433061,0.9465908076932841,0.05401665456693907,0.01670206563314095,0.644515873015873,0.6557857142857143,0.10374603174603175,-0.011269841269841265,0.225,0.45
