task,perturbation,dataset,n,uncorrected_single_drift,noise_baseline,raw_perturbation_drift,noise_corrected_drift
factual_qa,paraphrase,SQuAD V2,5,0.06741099557238546,0.020127956731729384,0.053921411915231136,0.03379345518350175
factual_qa,reordering,SQuAD V2,5,4.721083993453057e-06,2.1549621317025942e-08,4.677984750863414e-06,4.656435129546388e-06
factual_qa,formatting,SQuAD V2,5,4.4408920985006264e-17,4.4408920985006264e-17,4.4408920985006264e-17,0.0
factual_qa,context_injection,SQuAD V2,5,4.653570238355443e-06,4.4408920985006264e-17,4.653570238355443e-06,4.6535702383110335e-06
factual_qa,surface_noise,SQuAD V2,5,4.4408920985006264e-17,4.4408920985006264e-17,4.4408920985006264e-17,0.0
math_reasoning,paraphrase,MATH,5,0.05199239621928213,0.046719828905890465,0.05769335603659269,0.012140428008230422
math_reasoning,reordering,MATH,5,0.0618455618426121,0.04285390094625481,0.04565822381197073,0.0031642713332373485
math_reasoning,formatting,MATH,5,0.04333160794494182,0.06128707689473376,0.05281059097567954,0.0010808538684084726
math_reasoning,context_injection,MATH,5,0.08306394209926345,0.05321025123134643,0.051221932847120406,0.001811423293423542
math_reasoning,surface_noise,MATH,5,0.03275242052641556,0.06161330588142084,0.0546953827452825,0.0006605253754801254
code_generation,paraphrase,HumanEval,5,0.03656691860146701,0.0076573236270032355,0.044487899479414415,0.03692671559456871
code_generation,reordering,HumanEval,5,0.078174452914301,0.017336435959460838,0.06376098237502609,0.04650916661843395
code_generation,formatting,HumanEval,5,0.05000804549105149,0.01857234946413893,0.056520747913710194,0.03824051899962406
code_generation,context_injection,HumanEval,5,0.06337778882498502,0.02658350741879773,0.029866655039876042,0.005093556399348125
code_generation,surface_noise,HumanEval,5,0.040277113298575126,0.01275444176511747,0.04572130026929781,0.033324708336368886
open_ended_writing,paraphrase,Alpaca,5,0.13747558821385636,0.08723339169532596,0.08894393061972436,0.006605397102629293
open_ended_writing,reordering,Alpaca,5,0.05160458753029813,0.08885684087898056,0.09158946209369855,0.006571399095061356
open_ended_writing,formatting,Alpaca,5,0.1479031734523253,0.09802781498013438,0.15230902694176654,0.054281211961632166
open_ended_writing,context_injection,Alpaca,5,0.09904098503441053,0.07189996442757755,0.08571560369483854,0.016126780651234275
open_ended_writing,surface_noise,Alpaca,5,0.1647389794748106,0.061782282115249366,0.15974915095072179,0.10161939916660757
