base_case_id,task,dataset,perturbation_family,strength_level,strength_edits,original_noise,perturbed_noise,noise_baseline,raw_perturbation_drift,noise_corrected_drift,mean_cross_similarity,mean_paired_similarity,clean_single_correct,perturbed_single_correct,single_pass_rate_drop,abs_single_pass_rate_change,single_sample_pdr,clean_mean_correctness,perturbed_mean_correctness,repeated_pass_rate_drop,abs_repeated_pass_rate_change,repeated_sampling_pdr,harmful_correctness_drop,correctness_changed
rq2_dose_math_01,math_reasoning,MATH,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_math_01,math_reasoning,MATH,surface_noise,1,1,0.05615915185783956,0.024616401863655768,0.04038777686074767,0.04328275151449168,0.002894974653744012,0.9567172484855083,0.9572162960830969,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_math_01,math_reasoning,MATH,surface_noise,2,2,0.056169779474699734,0.028453317468637735,0.042311548471668736,0.04152115989455943,0.0,0.9584788401054406,0.9594406008094141,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1
rq2_dose_math_01,math_reasoning,MATH,surface_noise,3,4,0.05615915185783956,0.047201331046911786,0.05168024145237567,0.04420653560682744,0.0,0.9557934643931726,0.9417428212038325,1.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337,1,1
rq2_dose_math_01,math_reasoning,MATH,surface_noise,4,8,0.05615915185783956,0.046442259852610225,0.05130070585522489,0.04483798446042072,0.0,0.9551620155395792,0.9563978491537132,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337,1,1
rq2_dose_math_02,math_reasoning,MATH,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0,0
rq2_dose_math_02,math_reasoning,MATH,surface_noise,1,1,0.011214084349266703,0.04771001020259965,0.029462047275933177,0.03376720543313784,0.004305158157204662,0.9662327945668622,0.9672710547828227,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0,0
rq2_dose_math_02,math_reasoning,MATH,surface_noise,2,2,0.011214084349266703,0.015565399660891063,0.013389742005078883,0.014585057465185581,0.0011953154601066981,0.9854149425348144,0.9840092421268873,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,1,1
rq2_dose_math_02,math_reasoning,MATH,surface_noise,3,4,0.011216175645965998,0.02379504418329163,0.017505609914628815,0.01744551919995057,0.0,0.9825544808000495,0.9829730340856035,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,1,1
rq2_dose_math_02,math_reasoning,MATH,surface_noise,4,8,0.011214084349266703,0.05579634560047101,0.03350521497486886,0.04367022781294854,0.010165012838079683,0.9563297721870515,0.957250492875322,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,1,1
