task,strength_level,strength_edits,n,mean_cross_similarity,mean_noise_corrected_drift,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
code_generation,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0
code_generation,1,1,5,0.966105585685731,0.0028823396462027474,0.06666666666666667,-0.06666666666666667,0.0,0.2
code_generation,2,2,5,0.9621285944910527,0.007845104317202005,0.06666666666666667,-0.06666666666666667,0.0,0.2
code_generation,3,4,5,0.953472745475968,0.011152958045706296,0.06666666666666667,0.06666666666666667,0.2,0.2
code_generation,4,8,5,0.9398622316987202,0.022693002419792746,0.13333333333333336,-0.13333333333333336,0.0,0.2
factual_qa,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0
factual_qa,1,1,5,0.9882414040505687,0.0,0.0,0.0,0.0,0.0
factual_qa,2,2,5,0.9904261382107986,0.0,0.06666666666666667,0.06666666666666667,0.2,0.2
factual_qa,3,4,5,0.9862849544069201,0.000313323009377553,0.13333333333333333,0.0,0.2,0.4
factual_qa,4,8,5,0.9911764964613866,4.556576539860302e-06,0.13333333333333333,0.13333333333333333,0.4,0.4
math_reasoning,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0
math_reasoning,1,1,5,0.955508249932002,0.0026853036545928925,0.26666666666666666,0.26666666666666666,0.4,0.4
math_reasoning,2,2,5,0.9486440795231373,4.284227884488179e-05,0.13333333333333333,1.1102230246251566e-17,0.2,0.4
math_reasoning,3,4,5,0.9410420796648882,0.0039267101685078335,0.2666666666666667,0.2666666666666667,0.4,0.4
math_reasoning,4,8,5,0.936954357793486,0.005747453996566537,0.3333333333333333,0.2,0.4,0.6
