strength_level,strength_edits,n,mean_cross_similarity,mean_paired_similarity,mean_raw_perturbation_drift,mean_noise_corrected_drift,mean_clean_correctness,mean_perturbed_correctness,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
0,0,15,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0
1,1,15,0.9699517465561006,0.970537125442402,0.03004825344389943,0.0018558811002652132,0.6,0.5333333333333333,0.11111111111111112,0.06666666666666667,0.13333333333333333,0.2
2,2,15,0.9670662707416628,0.9666504160798751,0.032933729258337104,0.0026293155320156287,0.6,0.6,0.08888888888888889,3.7007434154171884e-18,0.13333333333333333,0.26666666666666666
3,4,15,0.9602665931825921,0.9629856900119446,0.03973340681740789,0.0051309970745305605,0.6,0.4888888888888889,0.15555555555555556,0.11111111111111112,0.26666666666666666,0.3333333333333333
4,8,15,0.9559976953178643,0.9591030885866326,0.04400230468213576,0.009481670997633048,0.6,0.5333333333333333,0.2,0.06666666666666667,0.26666666666666666,0.4
