task,perturbation,dataset,n,uncorrected_single_drift,noise_baseline,raw_perturbation_drift,noise_corrected_drift
factual_qa,formatting,SQuAD V2,25,0.025990899657429792,0.027026772447206363,0.03372643032268638,0.009700991641253143
math_reasoning,formatting,MATH,25,0.0593572300263876,0.04724262306255848,0.05657791253302031,0.010636465328951926
code_generation,formatting,HumanEval,25,0.046989115723078116,0.03598028098844331,0.0655742250456089,0.03188487769718416
open_ended_writing,formatting,Alpaca,25,0.10121728686592792,0.07855042340588997,0.0874693863663419,0.012308944314008754
