task,perturbation,dataset,n,uncorrected_single_drift,noise_baseline,raw_perturbation_drift,noise_corrected_drift
factual_qa,reordering,SQuAD V2,25,0.06099268069573642,0.03528560909313034,0.06277336370201363,0.03922022729257795
math_reasoning,reordering,MATH,25,0.06832128121102983,0.05374969329114553,0.07525274706800787,0.026098699618273952
code_generation,reordering,HumanEval,25,0.06701004914151781,0.04914248544754158,0.06174123504515849,0.027999799202300703
open_ended_writing,reordering,Alpaca,25,0.07397535886762842,0.06816586480331527,0.0712972729100107,0.013911628709359724
