strength_level,strength_edits,n,mean_cross_similarity,mean_paired_similarity,mean_raw_perturbation_drift,mean_noise_corrected_drift,mean_clean_correctness,mean_perturbed_correctness,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
0,0,15,1.0,1.0,0.0,0.0,0.4888888888888889,0.4888888888888889,0.0,0.0,0.0,0.0
1,1,15,0.9593561477500713,0.9646659722885909,0.040643852249928725,0.000460614760251469,0.4888888888888889,0.5333333333333333,0.13333333333333333,-0.044444444444444446,0.13333333333333333,0.4
2,2,15,0.9631049217062563,0.9697014521972716,0.03689507829374372,0.0002719493832832374,0.4888888888888889,0.5555555555555556,0.11111111111111112,-0.06666666666666667,0.06666666666666667,0.3333333333333333
3,4,15,0.9585206920639463,0.9590484765030891,0.041479307936053665,0.002293492793748645,0.4888888888888889,0.4222222222222222,0.15555555555555556,0.06666666666666665,0.26666666666666666,0.3333333333333333
4,8,15,0.9469639643776437,0.9493660390764428,0.053036035622356224,0.010716962771848491,0.4888888888888889,0.4888888888888889,0.08888888888888889,-3.7007434154171884e-18,0.06666666666666667,0.2
