task,strength_level,strength_edits,n,mean_cross_similarity,mean_noise_corrected_drift,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
code_generation,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0
code_generation,1,2,10,0.9407360838229861,0.009931281127012045,0.12,-0.12,0.0,0.3
code_generation,2,4,10,0.9294060834027489,0.027899751650266712,0.16,-0.12,0.1,0.3
code_generation,3,8,10,0.918786783067928,0.03477851263443674,0.26,-0.18,0.1,0.4
code_generation,4,16,10,0.912970595651514,0.028519292830838892,0.26,-0.18,0.1,0.5
factual_qa,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0
factual_qa,1,2,10,0.9857257686048372,0.0047553108854857685,0.0,0.0,0.0,0.0
factual_qa,2,4,10,0.9617152593652525,0.015906369841651724,0.0,0.0,0.0,0.0
factual_qa,3,8,10,0.9780087936128852,0.017723001261276815,0.0,0.0,0.0,0.0
factual_qa,4,16,10,0.9691217438520197,0.017723014987439733,0.0,0.0,0.0,0.0
long_factual_qa,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0
long_factual_qa,1,2,10,0.9620391216023636,0.0007392259248759595,0.04695238095238097,0.016476190476190467,0.5,0.8
long_factual_qa,2,4,10,0.9436822803148488,0.022837800747523403,0.06790476190476191,0.050761904761904765,0.5,0.7
long_factual_qa,3,8,10,0.9608072573663983,0.0034252401712497123,0.04031746031746033,0.013650793650793646,0.4,0.5
long_factual_qa,4,16,10,0.9641899782349658,0.00415557648171208,0.043587301587301605,0.01120634920634921,0.7,0.9
math_reasoning,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0
math_reasoning,1,2,10,0.954753060919942,0.0009576283012390973,0.1,-0.020000000000000018,0.2,0.4
math_reasoning,2,4,10,0.9495349216211312,0.0036103063661612313,0.34,0.14,0.5,0.8
math_reasoning,3,8,10,0.9556268043318111,0.001640673978628805,0.16,0.12,0.6,0.7
math_reasoning,4,16,10,0.9525143638074892,0.0015905189330519358,0.2,0.2,0.6,0.6
