scope_type,scope_value,n,relationship,x,y,pearson,spearman,spearman_ci95_low,spearman_ci95_high,spearman_permutation_p_two_sided
overall,all,150,primary,noise_corrected_drift,abs_repeated_pass_rate_change,0.32777441420073555,0.3464885915297296,0.18757246478669282,0.502882841687821,0.000999000999000999
overall,all,150,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.2976105339847969,0.37526286706081313,0.2429943557267547,0.5000977693321412,0.000999000999000999
overall,all,150,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.2665391601566448,0.33168305493253497,0.18810479473152994,0.4626919314647022,0.000999000999000999
overall,all,150,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,0.32318580738178815,0.13305719064563454,-0.05864572150858529,0.31082398905938047,0.0939060939060939
overall,all,150,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,0.24748684441182234,0.30595430298407594,0.14450998773364146,0.46303300876709136,0.000999000999000999
overall,all,150,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,0.19997780311358823,0.21265711645966792,0.07414539879925704,0.33982129306061365,0.008991008991008992
overall,all,150,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,0.29840900582853985,0.3341923283343775,0.1995521269823119,0.45467814364970227,0.000999000999000999
overall,all,150,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,0.227149832539553,0.23975827295539212,0.0638898049156276,0.4007402041170619,0.003996003996003996
task,code_generation,50,primary,noise_corrected_drift,abs_repeated_pass_rate_change,0.7469902591247614,0.514900085367457,0.18010966026433314,0.7318556015892832,0.001998001998001998
task,code_generation,50,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.6480820644182876,0.4867150746384617,0.21463330022330784,0.6837185873662415,0.000999000999000999
task,code_generation,50,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.5784749499042819,0.45962610101224505,0.21658552866615585,0.6510378735088843,0.000999000999000999
task,code_generation,50,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,0.6918996190288054,0.2576995594186208,-0.12444709079351736,0.5783580328801886,0.06493506493506493
task,code_generation,50,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,0.6933381281106804,0.4553002882623849,0.1165872346690902,0.6771022567423584,0.000999000999000999
task,code_generation,50,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,0.6226668923483674,0.4822195490367364,0.2686267268257284,0.6318788719979467,0.000999000999000999
