strength_level,strength_edits,n,mean_cross_similarity,mean_paired_similarity,mean_raw_perturbation_drift,mean_noise_corrected_drift,mean_clean_correctness,mean_perturbed_correctness,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
0,0,6,1.0,1.0,0.0,0.0,0.6111111111111112,0.6111111111111112,0.0,0.0,0.0,0.0
1,1,6,0.979205054156476,0.9793716967459752,0.020794945843524038,0.00022857994270905047,0.6111111111111112,0.5,0.11111111111111112,0.11111111111111112,0.3333333333333333,0.3333333333333333
2,2,6,0.9786781130767181,0.9777644354409789,0.021321886923281824,0.00010058560444042737,0.6111111111111112,0.5555555555555556,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.16666666666666666
3,4,6,0.9727662453682527,0.9704282411434147,0.027233754631747268,0.002886378660891356,0.6111111111111112,0.4444444444444444,0.16666666666666666,0.16666666666666666,0.5,0.5
4,8,6,0.9707011354462768,0.9655454581495926,0.029298864553723256,0.003559001601947094,0.6111111111111112,0.5,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333
