task,strength_level,strength_edits,n,mean_cross_similarity,mean_noise_corrected_drift,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
code_generation,0,0,12,1.0,0.0,0.0,0.0,0.0,0.0
code_generation,1,2,12,0.958451364945152,0.010042103860068026,0.1,0.06666666666666667,0.08333333333333333,0.16666666666666666
code_generation,2,4,12,0.9418431573610077,0.02084876280252617,0.15,0.15,0.25,0.25
code_generation,3,8,12,0.952924188644871,0.007043663666458805,0.08333333333333334,0.05,0.16666666666666666,0.25
code_generation,4,16,12,0.9570507338710529,0.008449188511336162,0.08333333333333334,0.05,0.08333333333333333,0.16666666666666666
factual_qa,0,0,12,1.0,0.0,0.0,0.0,0.0,0.0
factual_qa,1,2,12,0.9744804142997174,3.916537617219412e-05,0.0,0.0,0.0,0.0
factual_qa,2,4,12,0.9755250346014195,0.004255584297616669,0.0,0.0,0.0,0.0
factual_qa,3,8,12,0.9831864990834094,0.005494275066369862,0.0,0.0,0.0,0.0
factual_qa,4,16,12,0.9692340803954415,0.007364074816684524,0.0,0.0,0.0,0.0
long_factual_qa,0,0,12,1.0,0.0,0.0,0.0,0.0,0.0
long_factual_qa,1,2,12,0.9902469008933317,0.0003604525984298122,0.01518518518518519,0.006851851851851849,0.3333333333333333,0.5
long_factual_qa,2,4,12,0.987178226638451,0.0013635275228226743,0.020787037037037038,0.009953703703703696,0.3333333333333333,0.5
long_factual_qa,3,8,12,0.9890305077183759,0.0009163112335656601,0.020972222222222225,0.016805555555555556,0.5,0.5833333333333334
long_factual_qa,4,16,12,0.9876142828839345,0.0010084781734741245,0.026805555555555555,0.01597222222222221,0.4166666666666667,0.5833333333333334
math_reasoning,0,0,12,1.0,0.0,0.0,0.0,0.0,0.0
math_reasoning,1,2,12,0.9475577826267586,0.0010469801181189837,0.15,-0.016666666666666666,0.16666666666666666,0.4166666666666667
math_reasoning,2,4,12,0.9489456459991196,0.0006093892503823386,0.13333333333333333,0.03333333333333333,0.25,0.4166666666666667
math_reasoning,3,8,12,0.9453447155497945,0.003747421488715629,0.2,0.13333333333333333,0.4166666666666667,0.5833333333333334
math_reasoning,4,16,12,0.9450219710940189,0.006054445103216777,0.18333333333333335,0.08333333333333333,0.3333333333333333,0.5
