model,term,n,r_squared,coef,std_error,p_value,note
cue_only,const,50,0.1416705152090717,0.04674487439637488,0.01849253926054577,0.011478972799039465,OLS with HC3 robust SE
cue_only,cue_disruption,50,0.1416705152090717,0.116334550466026,0.055295242803779746,0.03538892384389297,OLS with HC3 robust SE
correctness_only,const,50,0.2664990550676487,0.06767626398474136,0.010156640712712356,2.678324921778763e-11,OLS with HC3 robust SE
correctness_only,factual_score_delta,50,0.2664990550676487,-0.3609486574502487,0.12855416741622816,0.004988810361993855,OLS with HC3 robust SE
length_only,const,50,0.02071076299764285,0.08060368011795974,0.010455042745988873,1.262616452690863e-14,OLS with HC3 robust SE
length_only,output_length_delta_tokens,50,0.02071076299764285,0.00023416023895995498,0.00026424698097805816,0.37554123589948296,OLS with HC3 robust SE
cue_correctness_length,const,50,0.34043016767139234,0.04150209097762393,0.015863165503277973,0.00889000570933427,OLS with HC3 robust SE
cue_correctness_length,cue_disruption,50,0.34043016767139234,0.08550603921290302,0.05318220622128717,0.10788027354046313,OLS with HC3 robust SE
cue_correctness_length,factual_score_delta,50,0.34043016767139234,-0.31428038260322494,0.14173283034932113,0.026594804104616742,OLS with HC3 robust SE
cue_correctness_length,output_length_delta_tokens,50,0.34043016767139234,4.816076446931271e-05,0.00024375652337174154,0.8433757686495953,OLS with HC3 robust SE
expanded,const,50,0.44762608828191985,0.15639822107778736,0.054144984504281374,0.0038707417860515615,OLS with HC3 robust SE
expanded,cue_disruption,50,0.44762608828191985,-0.0026790758505085984,0.06289408520222015,0.9660230847890888,OLS with HC3 robust SE
expanded,question_content_recall,50,0.44762608828191985,-0.1529589900532822,0.06547774705018054,0.019488875287930238,OLS with HC3 robust SE
expanded,question_context_content_overlap_loss,50,0.44762608828191985,-0.18324627186716802,0.13598777581968446,0.17781275925623807,OLS with HC3 robust SE
expanded,factual_score_delta,50,0.44762608828191985,-0.36225749179498096,0.1119964606211014,0.0012183710011937673,OLS with HC3 robust SE
expanded,output_length_delta_tokens,50,0.44762608828191985,-0.00014178676626390045,0.00022337553131753798,0.5255939666890206,OLS with HC3 robust SE
