index,task_perturbation,mean,std,count
19,open_ended_writing / surface_noise,0.10161939916660756,0.21314451030204837,5
16,open_ended_writing / formatting,0.054281211961632124,0.09748797546104734,5
3,code_generation / reordering,0.04650916661843392,0.07666699444609118,5
1,code_generation / formatting,0.03824051899962404,0.07411679189761108,5
2,code_generation / paraphrase,0.0369267155945687,0.07019540754295743,5
7,factual_qa / paraphrase,0.03379345518350174,0.046274656920425226,5
4,code_generation / surface_noise,0.03332470833636886,0.07147857766378529,5
15,open_ended_writing / context_injection,0.01612678065123424,0.026638943105419314,5
12,math_reasoning / paraphrase,0.012140428008230359,0.013279821576839051,5
17,open_ended_writing / paraphrase,0.006605397102629281,0.010063851614046443,5
18,open_ended_writing / reordering,0.0065713990950613255,0.009160621359880354,5
0,code_generation / context_injection,0.0050935563993481005,0.0091012054505211,5
13,math_reasoning / reordering,0.0031642713332373,0.005009856850786471,5
10,math_reasoning / context_injection,0.0018114232934235207,0.0031821315696233905,5
11,math_reasoning / formatting,0.0010808538684084598,0.0024168627235049284,5
14,math_reasoning / surface_noise,0.00066052537548012,0.001476979640437121,5
8,factual_qa / reordering,4.656435129546388e-06,1.0135298428760201e-05,5
5,factual_qa / context_injection,4.6535702383110335e-06,1.013676919331475e-05,5
6,factual_qa / formatting,0.0,0.0,5
9,factual_qa / surface_noise,0.0,0.0,5
