task,strength_level,strength_edits,n,mean_cross_similarity,mean_noise_corrected_drift,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
code_generation,0,0,50,1.0,0.0,0.0,0.0,0.0,0.0
code_generation,1,2,50,0.9381449843097363,0.022077375312133912,0.152,-0.048,0.1,0.32
code_generation,2,4,50,0.9406026834103584,0.020979021029253378,0.132,-0.068,0.1,0.3
code_generation,3,8,50,0.9270104922307518,0.034197352774442684,0.196,-0.156,0.06,0.4
code_generation,4,16,50,0.9267197319524108,0.030574028403841824,0.204,-0.148,0.08,0.44
factual_qa,0,0,50,1.0,0.0,0.0,0.0,0.0,0.0
factual_qa,1,2,50,0.9784002931075865,0.0028350128886457282,0.002666666666666668,0.002666666666666668,0.02,0.02
factual_qa,2,4,50,0.9705566236632701,0.01147953427934554,0.001333333333333332,-0.001333333333333332,0.0,0.02
factual_qa,3,8,50,0.9735129604797411,0.00897322404782037,0.001333333333333332,0.001333333333333332,0.02,0.02
factual_qa,4,16,50,0.9684791654610905,0.011686452877655438,0.001333333333333332,0.001333333333333332,0.02,0.02
long_factual_qa,0,0,50,1.0,0.0,0.0,0.0,0.0,0.0
long_factual_qa,1,2,50,0.9734405434945159,0.002029980017279892,0.04578095238095234,-0.010565079365079359,0.36,0.82
long_factual_qa,2,4,50,0.9666096968334308,0.009608614664739704,0.04631746031746029,0.01935238095238096,0.38,0.66
long_factual_qa,3,8,50,0.9723696761082654,0.0034542243857824577,0.044349206349206326,0.00654920634920635,0.36,0.68
long_factual_qa,4,16,50,0.9657094053742996,0.007337241371869192,0.05640317460317459,0.017015873015873016,0.52,0.84
math_reasoning,0,0,50,1.0,0.0,0.0,0.0,0.0,0.0
math_reasoning,1,2,50,0.9545980577262234,0.0010078195095315375,0.11199999999999999,-0.048,0.12,0.4
math_reasoning,2,4,50,0.9545251261889277,0.001686585909100366,0.17600000000000002,-0.015999999999999993,0.2,0.52
math_reasoning,3,8,50,0.9532250170938578,0.0032944990119131183,0.152,0.023999999999999994,0.32,0.56
math_reasoning,4,16,50,0.9526765707060022,0.0026123151700669822,0.124,0.06,0.28,0.42
