model,term,n,r_squared,coef,std_error,p_value,note
minimal_text_driver,const,50,0.38824422032653916,-0.00902177931749028,0.023517044514170467,0.7012547336352496,
minimal_text_driver,output_length_delta_tokens,50,0.38824422032653916,-3.970186169932629e-05,0.0002355538233461084,0.8661530672344391,
minimal_text_driver,factual_score_delta,50,0.38824422032653916,-0.28608129815051486,0.13082090613245445,0.028755932458573975,
minimal_text_driver,question_token_edit_distance_norm,50,0.38824422032653916,0.0879471991880474,0.04366973229049704,0.04401828941084654,
minimal_text_driver,cue_disruption,50,0.38824422032653916,0.06621345921192603,0.05303033532388553,0.211812913043942,
scope_style,const,50,0.26524619129322624,0.1549292367840524,0.038305778647149805,5.242605772035061e-05,
scope_style,answer_scope_proxy,50,0.26524619129322624,0.011603167805841707,0.006828759669274241,0.08928869528948619,
scope_style,question_content_recall,50,0.26524619129322624,-0.12747785799194267,0.05801039084188406,0.027984726818268663,
scope_style,question_context_content_overlap_delta,50,0.26524619129322624,0.17283642096918334,0.13017756912592296,0.18427809054290156,
output_distance,const,50,0.32172586418455174,-0.048208639791598264,0.02949294475298801,0.10213668099725108,
output_distance,mean_output_token_edit_distance_norm,50,0.32172586418455174,0.15572467799952577,0.03894580581446793,6.374605604549802e-05,
output_distance,question_token_edit_distance_norm,50,0.32172586418455174,0.0543674086435231,0.04605430004789487,0.23779875699468722,
output_distance,containment_rate_delta,50,0.32172586418455174,-0.03760302633489234,0.04770832971306063,0.4305880545501898,
